Food,Serving Size (1 Portion),Calories,Protein (g),Fat (g),Carbs (g),Sodium (mg),Potassium (mg),Source,food_idx
Apple pie,"1/8 of 9"" diameter pie",296.3,2.4,13.8,42.5,251.3,81.3,"https://www.eatthismuch.com/food/nutrition/apple-pie,4215/",apple_pie
Baby back ribs,3 ribs,290.0,23.0,20.0,5.0,610,0,"https://www.eatthismuch.com/food/nutrition/baby-back-ribs,95066",baby_back_ribs
Baklava,2 oz,230.3,3.0,11.0,30.0,79.8,0,"https://www.eatthismuch.com/food/nutrition/assorted-baklava,463949/",baklava
Beef carpaccio,3 oz,180.0,25.0,8.0,0.0,65,0,"https://www.eatthismuch.com/food/nutrition/beef-carpaccio,90507",beef_carpaccio
Beef tartare,5 oz,374.4,21.4,30.1,3.4,139.1,366.9,"https://www.eatthismuch.com/food/nutrition/classic-steak-tartare,1203516/",beef_tartare
Beet salad,8.5 oz,52.0,2.0,0.4,11.0,51,526,"https://www.eatthismuch.com/recipe/nutrition/beetroot-salad,905902",beet_salad
Beignets,1 beignet,270.0,8.0,3.0,54.0,240,0,"https://www.eatthismuch.com/food/nutrition/beignet,1979445",beignets
Bibimbap,13 oz,484.0,9.0,1.0,107.0,0,97,"https://www.eatthismuch.com/food/nutrition/bibimbap,350900",bibimbap
Bread pudding,3.5 oz,180.0,4.0,7.0,27.0,160,0,"https://www.eatthismuch.com/food/nutrition/bread-pudding,589168?a=1%3A2",bread_pudding
Breakfast burrito,1 burrito,350.0,14.0,13.0,42.0,500,0,"https://www.eatthismuch.com/food/nutrition/breakfast-burrito,579360",breakfast_burrito
Bruschetta,1 serving (2 pieces),583.0,15.0,34.0,55.0,1922,0,"https://www.eatthismuch.com/food/nutrition/siciliani-bruschette,540099/",bruschetta
Caesar salad,10 oz,260.0,11.0,14.0,26.0,540,0,"https://www.eatthismuch.com/food/nutrition/caesar-salad-10oz,2047329/",caesar_salad
Cannoli,1 piece,374.0,10.0,17.0,44.0,88,0,"https://www.eatthismuch.com/food/nutrition/cannoli,590737/",cannoli
Caprese salad,1 salad,479.0,17.0,40.0,10.0,740,0,"https://www.eatthismuch.com/food/nutrition/caprese-salad,590751/",caprese_salad
Carrot cake,1 oz,117.7,1.4,2.8,22.5,160.7,47.9,"https://www.eatthismuch.com/food/nutrition/carrot-cake,4039/",carrot_cake
Ceviche,3 oz,27.7,2.3,0.2,5.2,737.7,126.1,"https://www.eatthismuch.com/food/nutrition/shrimp-ceviche,42613/",ceviche
