Food,Serving Size (1 Portion),Calories,Protein (g),Fat (g),Carbs (g),Sodium (mg),Potassium (mg),Source
,,,,,,,,
apple_pie,"1/8 of 9"" diameter pie",296.3,2.4,13.8,42.5,251.3,81.3,"https://www.eatthismuch.com/food/nutrition/apple-pie,4215/"
,,,,,,,,
baby_back_ribs,3 ribs,290,23,20,5,610,--,"https://www.eatthismuch.com/food/nutrition/baby-back-ribs,95066"
baklava,2 oz,230.3,3,11,30,79.8,--,"https://www.eatthismuch.com/food/nutrition/assorted-baklava,463949/"
beef_carpaccio,3 oz,180,25,8,0,65,--,"https://www.eatthismuch.com/food/nutrition/beef-carpaccio,90507"
beef_tartare,5 oz,374.4,21.4,30.1,3.4,139.1,366.9,"https://www.eatthismuch.com/food/nutrition/classic-steak-tartare,1203516/"
beet_salad,8.5 oz,52,2,0.4,11,51,526,"https://www.eatthismuch.com/recipe/nutrition/beetroot-salad,905902"
beignets,1 beignet,270,8,3,54,240,--,"https://www.eatthismuch.com/food/nutrition/beignet,1979445"
bibimbap,13 oz,484,9,1,107,0,97,"https://www.eatthismuch.com/food/nutrition/bibimbap,350900"
bread_pudding,3.5 oz,180,4,7,27,160,--,"https://www.eatthismuch.com/food/nutrition/bread-pudding,589168?a=1%3A2"
breakfast_burrito,1 burrito,350,14,13,42,500,--,"https://www.eatthismuch.com/food/nutrition/breakfast-burrito,579360"
bruschetta,1 serving (2 pieces),583,15,34,55,1922,--,"https://www.eatthismuch.com/food/nutrition/siciliani-bruschette,540099/"
,,,,,,,,
caesar_salad,10 oz,260,11,14,26,540,--,"https://www.eatthismuch.com/food/nutrition/caesar-salad-10oz,2047329/"
cannoli,1 piece,374,10,17,44,88,--,"https://www.eatthismuch.com/food/nutrition/cannoli,590737/"
caprese_salad,1 salad,479,17,40,10,740,--,"https://www.eatthismuch.com/food/nutrition/caprese-salad,590751/"
carrot_cake,1 oz,117.7,1.4,2.8,22.5,160.7,47.9,"https://www.eatthismuch.com/food/nutrition/carrot-cake,4039/"
